question_id,labels,label_scores,label_sources
39,"[""INTEREST_DATA_WORK"", ""INTEREST_PRESENTING_INFORMATION"", ""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""INTEREST_DATA_WORK"": 0.8, ""INTEREST_PRESENTING_INFORMATION"": 0.7200000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""INTEREST_DATA_WORK"": ""rule"", ""INTEREST_PRESENTING_INFORMATION"": ""rule""}"
44,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""ORIENTATION_EXCELLENCE_FOCUSED"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""ORIENTATION_EXCELLENCE_FOCUSED"": 0.7200000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""ORIENTATION_EXCELLENCE_FOCUSED"": ""rule""}"
48,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_FLEXIBILITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.7166666666666667, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""TRAIT_FLEXIBILITY"": 0.6400000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""TRAIT_FLEXIBILITY"": ""rule""}"
49,"[""INTEREST_DATA_WORK"", ""INTEREST_PRESENTING_INFORMATION"", ""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""INTEREST_DATA_WORK"": 0.8, ""INTEREST_PRESENTING_INFORMATION"": 0.7200000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""INTEREST_DATA_WORK"": ""rule"", ""INTEREST_PRESENTING_INFORMATION"": ""rule""}"
55,"[""INTEREST_DATA_WORK"", ""INTEREST_PRESENTING_INFORMATION"", ""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""INTEREST_DATA_WORK"": 0.8, ""INTEREST_PRESENTING_INFORMATION"": 0.7200000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""INTEREST_DATA_WORK"": ""rule"", ""INTEREST_PRESENTING_INFORMATION"": ""rule""}"
56,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata""}"
57,"[""INTEREST_DATA_WORK"", ""INTEREST_PRESENTING_INFORMATION"", ""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""INTEREST_DATA_WORK"": 0.8, ""INTEREST_PRESENTING_INFORMATION"": 0.7200000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""INTEREST_DATA_WORK"": ""rule"", ""INTEREST_PRESENTING_INFORMATION"": ""rule""}"
58,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_FLEXIBILITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.7166666666666667, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""TRAIT_FLEXIBILITY"": 0.6400000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""TRAIT_FLEXIBILITY"": ""rule""}"
59,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata""}"
61,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_FLEXIBILITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.7166666666666667, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""TRAIT_FLEXIBILITY"": 0.6400000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""TRAIT_FLEXIBILITY"": ""rule""}"
64,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.6499999999999999, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6533333333333334, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata""}"
65,"[""INTEREST_RAPID_EXPERIMENTATION"", ""INTEREST_VISUAL_DESIGN"", ""TRAIT_ANALYTICAL"", ""TRAIT_ATTENTION_TO_DETAIL"", ""TRAIT_COLLABORATIVE"", ""TRAIT_COMMUNICATION"", ""TRAIT_CREATIVITY"", ""TRAIT_FLEXIBILITY"", ""TRAIT_RESILIENCE""]","{""TRAIT_CREATIVITY"": 0.8500000000000001, ""TRAIT_ANALYTICAL"": 0.7166666666666667, ""TRAIT_ATTENTION_TO_DETAIL"": 0.6, ""TRAIT_COLLABORATIVE"": 0.6, ""TRAIT_COMMUNICATION"": 0.6, ""INTEREST_RAPID_EXPERIMENTATION"": 0.7, ""INTEREST_VISUAL_DESIGN"": 0.6, ""TRAIT_RESILIENCE"": 0.6400000000000001, ""TRAIT_FLEXIBILITY"": 0.6400000000000001}","{""TRAIT_CREATIVITY"": ""metadata"", ""TRAIT_ANALYTICAL"": ""metadata"", ""TRAIT_ATTENTION_TO_DETAIL"": ""metadata"", ""TRAIT_COLLABORATIVE"": ""metadata"", ""TRAIT_COMMUNICATION"": ""metadata"", ""INTEREST_RAPID_EXPERIMENTATION"": ""metadata"", ""INTEREST_VISUAL_DESIGN"": ""metadata"", ""TRAIT_RESILIENCE"": ""rule"", ""TRAIT_FLEXIBILITY"": ""rule""}"
