id,category,subcategory,question,answer_type,options,tags
136,Skills,Data,"Working with data feels energizing to me, especially designing a data model for analytics.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
137,Skills,Data,"When it matters, working with data feels energizing to me, especially designing a data model for analytics. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
138,Skills,Data,"Working with data feels energizing to me, especially running A/B tests and interpreting results. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
139,Skills,Data,"Working with data feels energizing to me, especially finding outliers and explaining them. (when I'm tired)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
140,Skills,Data,"Overall, working with data feels energizing to me, especially exploring a dataset to discover patterns. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
141,Skills,Data,"When it matters, working with data feels energizing to me, especially building dashboards and visualizations.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
142,Skills,Data,"Working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies. (when things are ambiguous) This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
143,Skills,Data,"Working with data feels energizing to me, especially running A/B tests and interpreting results.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
144,Skills,Data,"Overall, working with data feels energizing to me, especially debugging why a metric changed suddenly. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
145,Skills,Data,"Working with data feels energizing to me, especially designing a data model for analytics. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
146,Skills,Data,"When it matters, working with data feels energizing to me, especially exploring a dataset to discover patterns.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
147,Skills,Data,"In general, working with data feels energizing to me, especially running A/B tests and interpreting results. (when I'm tired)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
148,Skills,Data,"Most of the time, working with data feels energizing to me, especially building dashboards and visualizations.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
149,Skills,Data,"In general, working with data feels energizing to me, especially building predictive models.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
150,Skills,Data,"Working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
151,Skills,Data,"Typically, working with data feels energizing to me, especially debugging why a metric changed suddenly. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
152,Skills,Data,"In general, working with data feels energizing to me, especially building predictive models. (when things are ambiguous)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
153,Skills,Data,"When it matters, working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
154,Skills,Data,"Working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies. (when things are ambiguous) I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
155,Skills,Data,"Working with data feels energizing to me, especially building predictive models.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
156,Skills,Data,"When it matters, working with data feels energizing to me, especially writing SQL to answer business questions. (when things are ambiguous) This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
157,Skills,Data,"Working with data feels energizing to me, especially building dashboards and visualizations.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
158,Skills,Data,"Working with data feels energizing to me, especially finding outliers and explaining them.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
159,Skills,Data,"Working with data feels energizing to me, especially finding outliers and explaining them. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
160,Skills,Data,"When it matters, working with data feels energizing to me, especially thinking in terms of distributions and uncertainty. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
161,Skills,Data,"Working with data feels energizing to me, especially exploring a dataset to discover patterns.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
162,Skills,Data,"When it matters, working with data feels energizing to me, especially thinking in terms of distributions and uncertainty. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
163,Skills,Data,"Typically, working with data feels energizing to me, especially exploring a dataset to discover patterns.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
164,Skills,Data,"When it matters, working with data feels energizing to me, especially finding outliers and explaining them.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
165,Skills,Data,"Working with data feels energizing to me, especially building predictive models. (when I'm tired)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
166,Skills,Data,"Overall, working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
167,Skills,Data,"Most of the time, working with data feels energizing to me, especially building predictive models.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
168,Skills,Data,"Typically, working with data feels energizing to me, especially designing a data model for analytics. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
169,Skills,Data,"Most of the time, working with data feels energizing to me, especially writing SQL to answer business questions. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
170,Skills,Data,"When it matters, working with data feels energizing to me, especially designing a data model for analytics.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
171,Skills,Data,"Most of the time, working with data feels energizing to me, especially finding outliers and explaining them. (when I'm tired)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
172,Skills,Data,"Working with data feels energizing to me, especially building dashboards and visualizations. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
173,Skills,Data,"Working with data feels energizing to me, especially writing SQL to answer business questions.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
174,Skills,Data,"Most of the time, working with data feels energizing to me, especially thinking in terms of distributions and uncertainty.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
175,Skills,Data,"Working with data feels energizing to me, especially thinking in terms of distributions and uncertainty. (when I'm tired)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
176,Skills,Data,"Working with data feels energizing to me, especially thinking in terms of distributions and uncertainty. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
177,Skills,Data,"Working with data feels energizing to me, especially debugging why a metric changed suddenly.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
178,Skills,Data,"Working with data feels energizing to me, especially building dashboards and visualizations. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
179,Skills,Data,"Most of the time, working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies. (when things are ambiguous)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
180,Skills,Data,"Working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
181,Skills,Data,"Working with data feels energizing to me, especially debugging why a metric changed suddenly. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
182,Skills,Data,"Working with data feels energizing to me, especially building predictive models. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
183,Skills,Data,"In general, working with data feels energizing to me, especially finding outliers and explaining them. (in a team)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
184,Skills,Data,"In general, working with data feels energizing to me, especially running A/B tests and interpreting results. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
185,Skills,Data,"Working with data feels energizing to me, especially finding outliers and explaining them. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
186,Skills,Data,"Working with data feels energizing to me, especially building dashboards and visualizations. (when learning) This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
187,Skills,Data,"Working with data feels energizing to me, especially debugging why a metric changed suddenly. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
188,Skills,Data,"Working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
189,Skills,Data,"Working with data feels energizing to me, especially thinking in terms of distributions and uncertainty.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
190,Skills,Data,"In general, working with data feels energizing to me, especially exploring a dataset to discover patterns.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
191,Skills,Data,"Working with data feels energizing to me, especially designing a data model for analytics. (when I'm tired) I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
192,Skills,Data,"Working with data feels energizing to me, especially exploring a dataset to discover patterns. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
193,Skills,Data,"Most of the time, working with data feels energizing to me, especially debugging why a metric changed suddenly.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
194,Skills,Data,"In general, working with data feels energizing to me, especially designing a data model for analytics. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
195,Skills,Data,"In general, working with data feels energizing to me, especially designing a data model for analytics. (when I'm tired)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
196,Skills,Data,"In general, working with data feels energizing to me, especially debugging why a metric changed suddenly. (when I'm tired)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
197,Skills,Data,"Working with data feels energizing to me, especially building predictive models. (in a team)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
198,Skills,Data,"When it matters, working with data feels energizing to me, especially debugging why a metric changed suddenly. (at work) This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
199,Skills,Data,"Working with data feels energizing to me, especially thinking in terms of distributions and uncertainty. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
200,Skills,Data,"Overall, working with data feels energizing to me, especially thinking in terms of distributions and uncertainty. (under time pressure) This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
201,Skills,Data,"Working with data feels energizing to me, especially building predictive models. I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
202,Skills,Data,"Working with data feels energizing to me, especially writing SQL to answer business questions. (when things are ambiguous)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
203,Skills,Data,"Typically, working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
204,Skills,Data,"Overall, working with data feels energizing to me, especially designing a data model for analytics. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
205,Skills,Data,"Most of the time, working with data feels energizing to me, especially designing a data model for analytics. (when I'm tired) I can relate to this.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
206,Skills,Data,"Overall, working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies. (when I'm tired) This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
207,Skills,Data,"In general, working with data feels energizing to me, especially finding outliers and explaining them. (when I'm tired)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
208,Skills,Data,"Typically, working with data feels energizing to me, especially thinking in terms of distributions and uncertainty. (at work)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
209,Skills,Data,"Working with data feels energizing to me, especially building dashboards and visualizations. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
210,Skills,Data,"Typically, working with data feels energizing to me, especially cleaning messy data and fixing inconsistencies. (under time pressure) This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
211,Skills,Data,"Working with data feels energizing to me, especially designing a data model for analytics. (when things are ambiguous)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
212,Skills,Data,"Overall, working with data feels energizing to me, especially exploring a dataset to discover patterns.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
213,Skills,Data,"In general, working with data feels energizing to me, especially thinking in terms of distributions and uncertainty.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
214,Skills,Data,"Overall, working with data feels energizing to me, especially debugging why a metric changed suddenly. (when things are ambiguous)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
215,Skills,Data,"Working with data feels energizing to me, especially finding outliers and explaining them. (at work)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
216,Skills,Data,"In general, working with data feels energizing to me, especially designing a data model for analytics. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
217,Skills,Data,"Working with data feels energizing to me, especially finding outliers and explaining them. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
218,Skills,Data,"Working with data feels energizing to me, especially designing a data model for analytics. This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
219,Skills,Data,"Working with data feels energizing to me, especially exploring a dataset to discover patterns. (when I'm tired)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
220,Skills,Data,"Most of the time, working with data feels energizing to me, especially debugging why a metric changed suddenly. (when I'm tired) This describes me well.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
221,Skills,Data,"When it matters, working with data feels energizing to me, especially designing a data model for analytics. This is true for me.",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
222,Skills,Data,"Working with data feels energizing to me, especially running A/B tests and interpreting results. (when learning)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
223,Skills,Data,"Overall, working with data feels energizing to me, especially writing SQL to answer business questions. (when things are ambiguous)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
224,Skills,Data,"Overall, working with data feels energizing to me, especially building dashboards and visualizations. (at work)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
225,Skills,Data,"Most of the time, working with data feels energizing to me, especially designing a data model for analytics. (under time pressure)",Likert5,1=Strongly disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly agree,"Skills,Data,likert"
